,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,track_names,artist_1,artist_2
0,,0.00883,https://api.spotify.com/v1/audio-analysis/0v2boHmWtxMTD2REGN8MbK,0.702,203064.0,0.825,0v2boHmWtxMTD2REGN8MbK,0.0,6.0,0.0674,-3.787,0.0,0.0601,102.977,4.0,https://api.spotify.com/v1/tracks/0v2boHmWtxMTD2REGN8MbK,audio_features,spotify:track:0v2boHmWtxMTD2REGN8MbK,0.915,Levitating (feat. DaBaby),Dua Lipa,DaBaby
0,,0.0592,https://api.spotify.com/v1/audio-analysis/2cc8Sw1OnCuA5bV8nqWqpE,0.691,233386.0,0.695,2cc8Sw1OnCuA5bV8nqWqpE,0.0,0.0,0.0647,-5.6,1.0,0.0367,106.064,4.0,https://api.spotify.com/v1/tracks/2cc8Sw1OnCuA5bV8nqWqpE,audio_features,spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,0.514,You,Regard,Troye Sivan
0,,0.194,https://api.spotify.com/v1/audio-analysis/5YaskwnGDZFDRipaqzbwQx,0.669,150053.0,0.784,5YaskwnGDZFDRipaqzbwQx,6.28e-06,7.0,0.115,-5.603,1.0,0.112,125.993,4.0,https://api.spotify.com/v1/tracks/5YaskwnGDZFDRipaqzbwQx,audio_features,spotify:track:5YaskwnGDZFDRipaqzbwQx,0.517,Your Love (9PM),ATB,Topic
0,,0.0723,https://api.spotify.com/v1/audio-analysis/15OCqNPYoLziEAsbVnqRj5,0.616,182121.0,0.576,15OCqNPYoLziEAsbVnqRj5,0.0,11.0,0.375,-5.495,0.0,0.0532,89.962,4.0,https://api.spotify.com/v1/tracks/15OCqNPYoLziEAsbVnqRj5,audio_features,spotify:track:15OCqNPYoLziEAsbVnqRj5,0.269,Good Without,Mimi Webb,
0,,0.0106,https://api.spotify.com/v1/audio-analysis/4u4NyuceXP7Uzh7XFJKCr1,0.658,170813.0,0.634,4u4NyuceXP7Uzh7XFJKCr1,0.0,1.0,0.132,-5.797,0.0,0.0413,139.98,4.0,https://api.spotify.com/v1/tracks/4u4NyuceXP7Uzh7XFJKCr1,audio_features,spotify:track:4u4NyuceXP7Uzh7XFJKCr1,0.29,Hold On,Justin Bieber,
0,,0.179,https://api.spotify.com/v1/audio-analysis/2YjWAJEES4VMcwoOWvqk08,0.843,190978.0,0.822,2YjWAJEES4VMcwoOWvqk08,0.0,0.0,0.0656,-4.337,0.0,0.2,125.0,4.0,https://api.spotify.com/v1/tracks/2YjWAJEES4VMcwoOWvqk08,audio_features,spotify:track:2YjWAJEES4VMcwoOWvqk08,0.751,HKF (Håll käften & försvinn),Myra Granberg,
0,,0.291,https://api.spotify.com/v1/audio-analysis/5X2c4q56vzXntq4qX34ZOZ,0.411,198473.0,0.49,5X2c4q56vzXntq4qX34ZOZ,0.0,0.0,0.0907,-7.497,0.0,0.0548,71.139,4.0,https://api.spotify.com/v1/tracks/5X2c4q56vzXntq4qX34ZOZ,audio_features,spotify:track:5X2c4q56vzXntq4qX34ZOZ,0.108,Du måste finnas,Newkid,
0,,0.0134,https://api.spotify.com/v1/audio-analysis/7jXQUrVhEpXdymfFWNDnQW,0.663,178088.0,0.783,7jXQUrVhEpXdymfFWNDnQW,0.00179,6.0,0.325,-4.585,1.0,0.0393,123.986,4.0,https://api.spotify.com/v1/tracks/7jXQUrVhEpXdymfFWNDnQW,audio_features,spotify:track:7jXQUrVhEpXdymfFWNDnQW,0.622,BED,Joel Corry,RAYE
0,,0.0185,https://api.spotify.com/v1/audio-analysis/2MlOUXmcofMackX3bxfSwi,0.88,342613.0,0.483,2MlOUXmcofMackX3bxfSwi,8.68e-06,1.0,0.0607,-7.012,1.0,0.0505,124.009,4.0,https://api.spotify.com/v1/tracks/2MlOUXmcofMackX3bxfSwi,audio_features,spotify:track:2MlOUXmcofMackX3bxfSwi,0.827,Jerusalema (feat. Nomcebo Zikode),Master KG,Nomcebo Zikode
0,,0.0441,https://api.spotify.com/v1/audio-analysis/3iw6V4LH7yPj1ESORX9RIN,0.722,116750.0,0.893,3iw6V4LH7yPj1ESORX9RIN,0.000937,0.0,0.0673,-3.255,0.0,0.0475,119.932,4.0,https://api.spotify.com/v1/tracks/3iw6V4LH7yPj1ESORX9RIN,audio_features,spotify:track:3iw6V4LH7yPj1ESORX9RIN,0.439,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,220 KID
0,,0.532,https://api.spotify.com/v1/audio-analysis/72qqClHy6Qf9Thi58pc4lX,0.641,198128.0,0.549,72qqClHy6Qf9Thi58pc4lX,0.0,3.0,0.11,-8.584,1.0,0.031,97.008,4.0,https://api.spotify.com/v1/tracks/72qqClHy6Qf9Thi58pc4lX,audio_features,spotify:track:72qqClHy6Qf9Thi58pc4lX,0.519,Hela världen väntar,Junie,Timbuktu
0,,0.0887,https://api.spotify.com/v1/audio-analysis/1CuVhIZAAc8h360WoVJYhD,0.735,156761.0,0.755,1CuVhIZAAc8h360WoVJYhD,0.0,0.0,0.438,-4.786,1.0,0.0614,127.978,4.0,https://api.spotify.com/v1/tracks/1CuVhIZAAc8h360WoVJYhD,audio_features,spotify:track:1CuVhIZAAc8h360WoVJYhD,0.655,För Evigt,Hanna Ferm,
0,,0.319,https://api.spotify.com/v1/audio-analysis/0BrNzj4BshYefpBFeBILO4,0.71,222678.0,0.784,0BrNzj4BshYefpBFeBILO4,0.0,0.0,0.081,-6.08,1.0,0.154,103.851,4.0,https://api.spotify.com/v1/tracks/0BrNzj4BshYefpBFeBILO4,audio_features,spotify:track:0BrNzj4BshYefpBFeBILO4,0.309,Bara för bra,Petter,Myra Granberg
0,,0.173,https://api.spotify.com/v1/audio-analysis/1EHUQesfVKwbthtNcpBi9g,0.655,161385.0,0.469,1EHUQesfVKwbthtNcpBi9g,0.0,0.0,0.0956,-6.257,1.0,0.0292,92.56,4.0,https://api.spotify.com/v1/tracks/1EHUQesfVKwbthtNcpBi9g,audio_features,spotify:track:1EHUQesfVKwbthtNcpBi9g,0.467,WITHOUT YOU (with Miley Cyrus),The Kid LAROI,Miley Cyrus
0,,0.212,https://api.spotify.com/v1/audio-analysis/6rAGFY9D3ah6Lb7fUgbNNH,0.447,168118.0,0.553,6rAGFY9D3ah6Lb7fUgbNNH,0.0,0.0,0.165,-4.817,1.0,0.0322,149.877,4.0,https://api.spotify.com/v1/tracks/6rAGFY9D3ah6Lb7fUgbNNH,audio_features,spotify:track:6rAGFY9D3ah6Lb7fUgbNNH,0.252,Fake A Smile,Alan Walker,salem ilese
0,,0.65,https://api.spotify.com/v1/audio-analysis/1HLJT14gzVJaBTsExcQ44G,0.475,160888.0,0.43,1HLJT14gzVJaBTsExcQ44G,0.0,10.0,0.172,-8.092,1.0,0.0531,105.65,4.0,https://api.spotify.com/v1/tracks/1HLJT14gzVJaBTsExcQ44G,audio_features,spotify:track:1HLJT14gzVJaBTsExcQ44G,0.467,Starkare,Newkid,
